Local de residência à data dos Censos [2021] (NUTS - 2013);S7A2011:2011-T:HM-T:Total-T:Total-T:Total;S7A2011:2011-T:HM-T:Total-01:A pé-T:Total;S7A2011:2011-T:HM-T:Total-02:Automovel ligeiro - como condutor-T:Total;S7A2011:2011-T:HM-T:Total-03:Automovel ligeiro - como passageiro-T:Total;S7A2011:2011-T:HM-T:Total-04:Autocarro-T:Total;S7A2011:2011-T:HM-T:Total-05:Transporte coletivo da empresa ou da escola-T:Total;S7A2011:2011-T:HM-T:Total-06:Metropolitano-T:Total;S7A2011:2011-T:HM-T:Total-07:Comboio-T:Total;S7A2011:2011-T:HM-T:Total-08:Motociclo-T:Total;S7A2011:2011-T:HM-T:Total-09:Bicicleta-T:Total;S7A2011:2011-T:HM-T:Total-10:Barco-T:Total;S7A2011:2011-T:HM-T:Total-11:Outro-T:Total;S7A2021:2021-T:HM-T:Total-T:Total-T:Total;S7A2021:2021-T:HM-T:Total-01:A pé-T:Total;S7A2021:2021-T:HM-T:Total-02:Automovel ligeiro - como condutor-T:Total;S7A2021:2021-T:HM-T:Total-03:Automovel ligeiro - como passageiro-T:Total;S7A2021:2021-T:HM-T:Total-04:Autocarro-T:Total;S7A2021:2021-T:HM-T:Total-05:Transporte coletivo da empresa ou da escola-T:Total;S7A2021:2021-T:HM-T:Total-06:Metropolitano-T:Total;S7A2021:2021-T:HM-T:Total-07:Comboio-T:Total;S7A2021:2021-T:HM-T:Total-08:Motociclo-T:Total;S7A2021:2021-T:HM-T:Total-09:Bicicleta-T:Total;S7A2021:2021-T:HM-T:Total-10:Barco-T:Total;S7A2021:2021-T:HM-T:Total-11:Outro-T:Total
1001:Alcobaça;31003;4162;16545;6101;2660;683;24;32;384;332;1;79;28539;3680;16553;5314;1809;504;32;31;261;291;1;63
1101:Alenquer;25687;3422;12283;4485;2973;1264;12;876;207;99;0;66;25377;3209;12780;4692;2406;881;16;1045;167;109;0;72
1102:Arruda dos Vinhos;8458;1062;4199;1691;880;292;8;218;61;12;0;35;8487;1153;4403;1833;651;147;6;203;52;17;1;21
1005:Bombarral;6888;1417;3222;1090;618;247;7;123;62;56;0;46;6285;1199;3110;1018;680;137;1;34;28;48;0;30
1104:Cadaval;7268;1173;3539;1163;701;485;8;45;98;20;0;36;6374;918;3362;1066;689;197;4;15;66;25;0;32
1006:Caldas da Rainha;28312;5229;14080;5748;1808;859;37;71;279;128;0;73;25744;4886;13185;5030;1656;486;24;66;174;148;1;88
1108:Lourinhã;14094;2056;6760;2625;1659;590;14;11;195;96;5;83;13156;1814;6712;2629;1358;369;9;9;127;71;3;55
1011:Nazaré;7842;1828;3661;1248;769;134;10;16;99;33;0;44;7440;1487;3758;1382;469;130;1;8;111;30;6;58
1012:Óbidos;6272;496;3398;1182;811;247;8;10;57;24;0;39;5706;571;3199;1257;453;115;4;11;44;24;0;28
1014:Peniche;14839;3939;6521;2435;1054;319;15;9;242;271;1;33;13261;3061;6359;2328;851;190;8;3;196;202;6;57
1112:Sobral de Monte Agraço;6120;866;2971;1202;657;265;4;78;40;11;0;26;6097;817;3175;1159;644;169;3;54;48;11;0;17
1113:Torres Vedras;46807;6758;22233;8485;6065;2420;25;122;338;238;1;122;45330;6516;22958;8576;4983;1446;21;140;308;251;4;127
