Local de residência à data dos Censos [2021] (NUTS - 2013);S7A2011:2011-T:HM-T:Total-T:Total-T:Total;S7A2011:2011-T:HM-T:Total-01:A pé-T:Total;S7A2011:2011-T:HM-T:Total-02:Automovel ligeiro - como condutor-T:Total;S7A2011:2011-T:HM-T:Total-03:Automovel ligeiro - como passageiro-T:Total;S7A2011:2011-T:HM-T:Total-04:Autocarro-T:Total;S7A2011:2011-T:HM-T:Total-05:Transporte coletivo da empresa ou da escola-T:Total;S7A2011:2011-T:HM-T:Total-06:Metropolitano-T:Total;S7A2011:2011-T:HM-T:Total-07:Comboio-T:Total;S7A2011:2011-T:HM-T:Total-08:Motociclo-T:Total;S7A2011:2011-T:HM-T:Total-09:Bicicleta-T:Total;S7A2011:2011-T:HM-T:Total-10:Barco-T:Total;S7A2011:2011-T:HM-T:Total-11:Outro-T:Total;S7A2021:2021-T:HM-T:Total-T:Total-T:Total;S7A2021:2021-T:HM-T:Total-01:A pé-T:Total;S7A2021:2021-T:HM-T:Total-02:Automovel ligeiro - como condutor-T:Total;S7A2021:2021-T:HM-T:Total-03:Automovel ligeiro - como passageiro-T:Total;S7A2021:2021-T:HM-T:Total-04:Autocarro-T:Total;S7A2021:2021-T:HM-T:Total-05:Transporte coletivo da empresa ou da escola-T:Total;S7A2021:2021-T:HM-T:Total-06:Metropolitano-T:Total;S7A2021:2021-T:HM-T:Total-07:Comboio-T:Total;S7A2021:2021-T:HM-T:Total-08:Motociclo-T:Total;S7A2021:2021-T:HM-T:Total-09:Bicicleta-T:Total;S7A2021:2021-T:HM-T:Total-10:Barco-T:Total;S7A2021:2021-T:HM-T:Total-11:Outro-T:Total
4301:Angra do Heroísmo;21542;3125;10082;4930;2309;878;0;0;133;20;5;60;19000;2630;10118;4139;1380;462;11;0;168;20;1;71
4501:Calheta;2100;307;970;311;178;292;0;0;34;1;0;7;1886;214;1017;332;171;125;2;0;19;0;0;6
4901:Corvo;259;181;56;16;1;1;0;0;4;0;0;0;252;152;71;24;2;0;0;0;2;1;0;0
4701:Horta;9001;1136;4347;2245;565;374;0;0;230;23;35;46;8361;1122;4472;1868;410;256;6;1;157;18;26;25
4201:Lagoa;8905;2009;3378;1797;1103;486;0;0;70;16;3;43;8300;1612;3843;1865;611;257;2;0;57;16;3;34
4801:Lajes das Flores;866;156;389;152;93;59;0;0;9;0;0;8;791;148;381;115;72;55;0;0;11;3;0;6
4601:Lajes do Pico;2485;387;1154;406;155;346;0;0;26;4;2;5;2236;283;1181;413;149;184;2;0;11;2;7;4
4602:Madalena;3464;435;1666;814;143;325;0;0;38;9;27;7;3536;438;1963;735;114;199;2;0;32;5;33;15
4202:Nordeste;2733;638;911;278;106;766;0;0;4;0;0;30;2258;446;925;344;251;267;0;0;8;0;0;17
4203:Ponta Delgada;44425;6988;19970;10248;4949;1708;0;0;328;65;2;167;39129;5411;19922;8779;3310;1038;33;0;341;119;2;174
4204:Povoação;3444;981;1141;480;472;321;0;0;32;8;1;8;3135;869;1229;492;363;119;3;0;38;9;1;12
4205:Ribeira Grande;19326;5463;6483;3578;1981;1622;0;0;67;22;18;92;18112;4266;7637;3802;1402;810;8;0;67;24;18;78
4401:Santa Cruz da Graciosa;2370;385;1118;464;211;116;0;0;56;12;0;8;2237;326;1179;435;164;63;1;0;48;7;0;14
4802:Santa Cruz das Flores;1289;243;581;296;70;82;0;0;12;1;0;4;1184;227;593;241;65;44;0;0;7;1;0;6
4603:São Roque do Pico;1834;230;881;385;123;183;0;0;19;7;3;3;1714;223;935;326;70;118;2;0;21;7;3;9
4502:Velas;3065;601;1427;565;143;284;0;0;34;1;1;9;2768;530;1392;517;145;154;2;0;14;2;3;9
4302:Vila da Praia da Vitória;12606;1333;6367;2533;1477;744;0;0;70;40;1;41;10563;1039;6039;2160;785;422;10;0;47;18;0;43
4101:Vila do Porto;3285;574;1613;716;172;98;0;0;106;2;0;4;3187;456;1772;667;129;76;1;0;59;3;0;24
4206:Vila Franca do Campo;6172;1747;1906;977;820;678;0;0;16;5;1;22;5357;1194;2211;953;532;405;4;0;24;7;2;25
3101:Calheta;5511;911;2230;1005;500;808;0;0;38;1;8;10;4737;748;2214;939;452;308;1;3;46;5;5;16
3102:Câmara de Lobos;21425;3884;5937;3579;6315;1569;0;0;99;6;8;28;16399;2447;6304;2984;3505;777;14;1;301;3;5;58
3103:Funchal;66095;8765;24968;13899;16461;807;0;0;1082;16;7;90;54852;7466;23291;11394;10099;483;68;9;1835;42;2;163
3104:Machico;11934;2801;4386;2032;2105;551;0;0;36;1;7;15;9481;1713;4167;1815;1303;332;11;2;78;4;14;42
3105:Ponta do Sol;4773;817;1850;933;602;532;0;0;25;3;4;7;3942;565;1850;737;516;223;4;0;33;1;0;13
3106:Porto Moniz;1392;442;511;147;173;113;0;0;6;0;0;0;1061;242;459;127;128;97;0;0;5;1;0;2
3201:Porto Santo;3190;502;1531;608;249;48;0;0;209;33;5;5;2740;425;1376;546;106;35;1;0;200;39;4;8
3107:Ribeira Brava;7412;1110;2701;1367;1333;844;0;0;33;2;1;21;6030;840;2698;1187;933;270;9;1;60;2;1;29
3108:Santa Cruz;28159;2265;13173;7405;4374;676;0;0;209;3;2;52;24830;2046;12635;5963;3337;336;33;0;405;3;0;72
3109:Santana;3687;772;1538;689;399;249;0;0;33;0;0;7;2771;411;1402;546;324;54;4;0;25;0;1;4
3110:São Vicente;2694;480;1114;434;396;262;0;0;5;0;0;3;2065;295;1000;444;195;109;2;1;14;3;0;2
