Local de residência à data dos Censos [2021] (NUTS - 2013);S7A2011:2011-T:HM-T:Total-T:Total-T:Total;S7A2011:2011-T:HM-T:Total-01:A pé-T:Total;S7A2011:2011-T:HM-T:Total-02:Automovel ligeiro - como condutor-T:Total;S7A2011:2011-T:HM-T:Total-03:Automovel ligeiro - como passageiro-T:Total;S7A2011:2011-T:HM-T:Total-04:Autocarro-T:Total;S7A2011:2011-T:HM-T:Total-05:Transporte coletivo da empresa ou da escola-T:Total;S7A2011:2011-T:HM-T:Total-06:Metropolitano-T:Total;S7A2011:2011-T:HM-T:Total-07:Comboio-T:Total;S7A2011:2011-T:HM-T:Total-08:Motociclo-T:Total;S7A2011:2011-T:HM-T:Total-09:Bicicleta-T:Total;S7A2011:2011-T:HM-T:Total-10:Barco-T:Total;S7A2011:2011-T:HM-T:Total-11:Outro-T:Total;S7A2021:2021-T:HM-T:Total-T:Total-T:Total;S7A2021:2021-T:HM-T:Total-01:A pé-T:Total;S7A2021:2021-T:HM-T:Total-02:Automovel ligeiro - como condutor-T:Total;S7A2021:2021-T:HM-T:Total-03:Automovel ligeiro - como passageiro-T:Total;S7A2021:2021-T:HM-T:Total-04:Autocarro-T:Total;S7A2021:2021-T:HM-T:Total-05:Transporte coletivo da empresa ou da escola-T:Total;S7A2021:2021-T:HM-T:Total-06:Metropolitano-T:Total;S7A2021:2021-T:HM-T:Total-07:Comboio-T:Total;S7A2021:2021-T:HM-T:Total-08:Motociclo-T:Total;S7A2021:2021-T:HM-T:Total-09:Bicicleta-T:Total;S7A2021:2021-T:HM-T:Total-10:Barco-T:Total;S7A2021:2021-T:HM-T:Total-11:Outro-T:Total
1601:Arcos de Valdevez;9307;1570;4315;1763;1001;500;4;0;113;6;0;35;8294;1257;4477;1565;565;301;3;17;63;12;0;34
1602:Caminha;8219;1611;3887;1680;386;304;6;174;103;55;0;13;7320;1099;3978;1451;301;198;7;193;52;25;1;15
1603:Melgaço;3214;713;1459;450;217;303;3;0;58;1;0;10;2764;540;1499;402;138;127;2;11;28;8;0;9
1604:Monção;8046;1184;4178;1240;657;582;4;30;123;17;1;30;7585;1216;4246;1187;485;285;2;22;86;24;0;32
1605:Paredes de Coura;4227;487;2136;708;474;312;2;0;92;2;0;14;3997;432;2243;730;326;204;2;5;32;4;0;19
1606:Ponte da Barca;5419;988;2482;899;635;337;2;0;55;7;0;14;5008;839;2695;864;369;151;2;14;38;10;0;26
1607:Ponte de Lima;22378;2668;9682;3973;3220;2403;9;58;220;67;0;78;20480;2283;11083;3521;2011;1275;13;74;108;48;0;64
1608:Valença;6939;1014;3558;1385;563;197;4;71;104;27;0;16;6949;965;3778;1389;422;238;2;68;42;31;0;14
1609:Viana do Castelo;47998;7271;23069;9850;4173;2150;27;546;504;305;0;103;44374;6085;24054;9037;2751;1288;34;361;362;231;6;165
1610:Vila Nova de Cerveira;4731;612;2412;950;376;209;1;63;82;13;0;13;4617;576;2557;846;332;162;6;58;43;16;0;21
0301:Amares;10527;1658;4586;1891;1591;559;2;49;137;36;0;18;9936;1193;5275;1828;1089;344;0;60;91;27;2;27
0302:Barcelos;69253;10933;30666;12686;8095;4151;36;813;1417;273;0;183;65747;8706;35432;11751;5633;2175;57;863;776;191;2;161
