Local de residência à data dos Censos [2021] (NUTS - 2013);S7A2011:2011-T:HM-T:Total-T:Total-T:Total;S7A2011:2011-T:HM-T:Total-01:A pé-T:Total;S7A2011:2011-T:HM-T:Total-02:Automovel ligeiro - como condutor-T:Total;S7A2011:2011-T:HM-T:Total-03:Automovel ligeiro - como passageiro-T:Total;S7A2011:2011-T:HM-T:Total-04:Autocarro-T:Total;S7A2011:2011-T:HM-T:Total-05:Transporte coletivo da empresa ou da escola-T:Total;S7A2011:2011-T:HM-T:Total-06:Metropolitano-T:Total;S7A2011:2011-T:HM-T:Total-07:Comboio-T:Total;S7A2011:2011-T:HM-T:Total-08:Motociclo-T:Total;S7A2011:2011-T:HM-T:Total-09:Bicicleta-T:Total;S7A2011:2011-T:HM-T:Total-10:Barco-T:Total;S7A2011:2011-T:HM-T:Total-11:Outro-T:Total;S7A2021:2021-T:HM-T:Total-T:Total-T:Total;S7A2021:2021-T:HM-T:Total-01:A pé-T:Total;S7A2021:2021-T:HM-T:Total-02:Automovel ligeiro - como condutor-T:Total;S7A2021:2021-T:HM-T:Total-03:Automovel ligeiro - como passageiro-T:Total;S7A2021:2021-T:HM-T:Total-04:Autocarro-T:Total;S7A2021:2021-T:HM-T:Total-05:Transporte coletivo da empresa ou da escola-T:Total;S7A2021:2021-T:HM-T:Total-06:Metropolitano-T:Total;S7A2021:2021-T:HM-T:Total-07:Comboio-T:Total;S7A2021:2021-T:HM-T:Total-08:Motociclo-T:Total;S7A2021:2021-T:HM-T:Total-09:Bicicleta-T:Total;S7A2021:2021-T:HM-T:Total-10:Barco-T:Total;S7A2021:2021-T:HM-T:Total-11:Outro-T:Total
1501:Alcácer do Sal;6804;1654;2951;1127;550;342;5;9;95;42;7;22;5485;1179;2612;936;385;239;7;6;55;33;6;27
1505:Grândola;7289;1765;3318;1208;454;255;4;17;75;157;2;34;6978;1787;3259;1149;356;218;9;28;39;102;4;27
0211:Odemira;12514;2836;5196;1919;1122;1177;5;11;149;68;0;31;15584;3570;5813;2719;1290;1835;14;29;142;124;1;47
1509:Santiago do Cacém;16003;3191;7883;2633;989;1062;10;10;60;94;2;69;13991;2956;7323;2103;759;575;20;27;71;80;0;77
1513:Sines;8433;2095;3744;1497;409;525;14;9;61;65;2;12;7944;2059;3785;1291;304;350;7;9;56;66;1;16
0201:Aljustrel;4395;1206;1874;543;422;299;4;0;18;23;0;6;4377;1082;2072;669;279;212;1;5;32;19;0;6
0202:Almodôvar;3365;1041;1385;346;284;250;1;0;26;29;0;3;3126;989;1361;315;229;170;1;6;18;32;0;5
0203:Alvito;1246;477;414;160;83;69;1;24;11;5;0;2;1069;336;398;132;82;82;0;17;11;8;0;3
0204:Barrancos;858;451;281;90;21;3;1;0;10;1;0;0;708;298;265;91;36;10;0;1;6;0;0;1
0205:Beja;20073;4945;9332;3714;1428;450;19;11;91;47;0;36;18196;4525;8802;3157;1011;455;19;36;94;69;0;28
0206:Castro Verde;3843;1094;1579;517;391;213;3;0;23;14;0;9;3556;1042;1640;414;224;165;4;9;20;23;0;15
0207:Cuba;2473;745;949;410;152;98;1;53;13;39;0;13;2265;544;1015;379;146;92;2;32;12;38;0;5
0208:Ferreira do Alentejo;3976;1099;1622;537;310;337;1;0;22;16;0;32;3771;1010;1538;520;254;386;3;4;17;14;0;25
0209:Mértola;3082;731;1286;412;318;266;3;0;48;11;0;7;2569;644;1214;343;169;159;2;3;19;7;0;9
0210:Moura;7305;3010;2586;1001;466;146;7;0;33;27;0;29;6102;2136;2401;1012;306;171;1;2;39;18;0;16
0212:Ourique;2429;698;1050;303;180;165;0;5;13;10;0;5;2185;596;1030;288;131;108;2;6;12;10;0;2
0213:Serpa;7155;2488;2575;1003;640;266;5;0;55;94;0;29;6250;1856;2694;932;433;201;5;6;31;75;0;17
0214:Vidigueira;3018;845;1244;414;308;164;0;0;18;18;0;7;2544;572;1190;429;189;126;2;4;17;7;0;8
1403:Almeirim;12525;2132;5965;2403;839;473;6;236;175;272;0;24;11303;1981;5682;2111;662;321;8;286;74;138;0;40
1404:Alpiarça;3967;565;1946;864;183;147;4;56;94;93;0;15;3383;501;1728;731;140;78;3;82;48;62;0;10
1103:Azambuja;11827;1924;5016;1983;902;535;11;1274;91;62;0;29;11389;1965;5166;1898;666;271;5;1234;76;66;0;42
1405:Benavente;17498;3405;7928;3503;1483;446;8;311;131;235;2;46;16879;3062;8138;3237;1294;384;9;403;98;206;6;42
1406:Cartaxo;13505;2158;6409;2555;929;479;6;693;113;128;0;35;12000;1797;6150;2263;729;281;11;610;74;53;0;32
1407:Chamusca;5072;887;2314;694;474;416;5;68;133;74;0;7;4014;652;2001;634;337;201;2;80;49;43;0;15
1409:Coruche;9540;1313;4669;1735;804;778;10;13;109;64;0;45;7708;1069;4012;1437;601;400;20;41;53;46;2;27
